Code,Name,ipo_date,,
300648.SZ,星云股份,2017/4/25,CSRC仪器仪表制造业,Wind技术硬件与设备
300649.SZ,杭州园林,2017/5/5,CSRC专业技术服务业,Wind商业和专业服务
300650.SZ,太龙照明,2017/5/3,CSRC电气机械及器材制造业,Wind耐用消费品与服装
300651.SZ,金陵体育,2017/5/9,CSRC文教、工美、体育和娱乐用品制造业,Wind耐用消费品与服装
300652.SZ,雷迪克,2017/5/16,CSRC汽车制造业,Wind汽车与汽车零部件
300653.SZ,正海生物,2017/5/16,CSRC专用设备制造业,Wind制药、生物科技与生命科学
300654.SZ,世纪天鸿,2017/9/26,CSRC新闻和出版业,Wind媒体Ⅱ
300655.SZ,晶瑞股份,2017/5/23,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
300656.SZ,民德电子,2017/5/19,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300657.SZ,弘信电子,2017/5/23,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300658.SZ,延江股份,2017/6/2,CSRC纺织业,Wind耐用消费品与服装
300659.SZ,中孚信息,2017/5/26,CSRC软件和信息技术服务业,Wind软件与服务
300660.SZ,江苏雷利,2017/6/2,CSRC电气机械及器材制造业,Wind资本货物
300661.SZ,圣邦股份,2017/6/6,CSRC计算机、通信和其他电子设备制造业,Wind半导体与半导体生产设备
300662.SZ,科锐国际,2017/6/8,CSRC商务服务业,Wind商业和专业服务
300663.SZ,科蓝软件,2017/6/8,CSRC软件和信息技术服务业,Wind软件与服务
300664.SZ,鹏鹞环保,2018/1/5,CSRC生态保护和环境治理业,Wind商业和专业服务
300665.SZ,飞鹿股份,2017/6/13,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
300666.SZ,江丰电子,2017/6/15,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300667.SZ,必创科技,2017/6/19,CSRC仪器仪表制造业,Wind技术硬件与设备
300668.SZ,杰恩设计,2017/6/19,CSRC专业技术服务业,Wind商业和专业服务
300669.SZ,沪宁股份,2017/6/29,CSRC通用设备制造业,Wind资本货物
300670.SZ,大烨智能,2017/7/3,CSRC电气机械及器材制造业,Wind资本货物
300671.SZ,富满电子,2017/7/5,CSRC软件和信息技术服务业,Wind半导体与半导体生产设备
300672.SZ,国科微,2017/7/12,CSRC计算机、通信和其他电子设备制造业,Wind半导体与半导体生产设备
300673.SZ,佩蒂股份,2017/7/11,CSRC农副食品加工业,Wind食品、饮料与烟草
300674.SZ,宇信科技,2018/11/7,CSRC软件和信息技术服务业,Wind软件与服务
300675.SZ,建科院,2017/7/19,CSRC专业技术服务业,Wind商业和专业服务
300676.SZ,华大基因,2017/7/14,CSRC专业技术服务业,Wind制药、生物科技与生命科学
300677.SZ,英科医疗,2017/7/21,CSRC橡胶和塑料制品业,Wind医疗保健设备与服务
300678.SZ,中科信息,2017/7/28,CSRC软件和信息技术服务业,Wind软件与服务
300679.SZ,电连技术,2017/7/31,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300680.SZ,隆盛科技,2017/7/25,CSRC汽车制造业,Wind汽车与汽车零部件
300681.SZ,英搏尔,2017/7/25,CSRC电气机械及器材制造业,Wind资本货物
300682.SZ,朗新科技,2017/8/1,CSRC软件和信息技术服务业,Wind软件与服务
300683.SZ,海特生物,2017/8/8,CSRC医药制造业,Wind制药、生物科技与生命科学
300684.SZ,中石科技,2017/12/27,CSRC化学原料及化学制品制造业,Wind技术硬件与设备
300685.SZ,艾德生物,2017/8/2,CSRC医药制造业,Wind制药、生物科技与生命科学
300686.SZ,智动力,2017/8/4,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300687.SZ,赛意信息,2017/8/3,CSRC软件和信息技术服务业,Wind软件与服务
300688.SZ,创业黑马,2017/8/10,CSRC商务服务业,Wind商业和专业服务
300689.SZ,澄天伟业,2017/8/9,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300690.SZ,双一科技,2017/8/8,CSRC非金属矿物制品业,Wind资本货物
300691.SZ,联合光电,2017/8/11,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300692.SZ,中环环保,2017/8/21,CSRC生态保护和环境治理业,Wind商业和专业服务
300693.SZ,盛弘股份,2017/8/22,CSRC电气机械及器材制造业,Wind资本货物
300694.SZ,蠡湖股份,2018/10/15,CSRC通用设备制造业,Wind汽车与汽车零部件
300695.SZ,兆丰股份,2017/9/8,CSRC汽车制造业,Wind汽车与汽车零部件
300696.SZ,爱乐达,2017/8/22,CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind资本货物
300697.SZ,电工合金,2017/9/7,CSRC有色金属冶炼及压延加工,Wind材料Ⅱ
300698.SZ,万马科技,2017/8/31,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300699.SZ,光威复材,2017/9/1,CSRC化学纤维制造业,Wind材料Ⅱ
300700.SZ,岱勒新材,2017/9/12,CSRC非金属矿物制品业,Wind资本货物
300701.SZ,森霸传感,2017/9/15,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300702.SZ,天宇股份,2017/9/19,CSRC医药制造业,Wind制药、生物科技与生命科学
300703.SZ,创源文化,2017/9/19,CSRC文教、工美、体育和娱乐用品制造业,Wind耐用消费品与服装
300705.SZ,九典制药,2017/10/10,CSRC医药制造业,Wind制药、生物科技与生命科学
300706.SZ,阿石创,2017/9/26,CSRC其他制造业,Wind技术硬件与设备
300707.SZ,威唐工业,2017/10/10,CSRC专用设备制造业,Wind汽车与汽车零部件
300708.SZ,聚灿光电,2017/10/16,CSRC计算机、通信和其他电子设备制造业,Wind半导体与半导体生产设备
300709.SZ,精研科技,2017/10/19,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300710.SZ,万隆光电,2017/10/19,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300711.SZ,广哈通信,2017/11/1,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300712.SZ,永福股份,2017/10/31,CSRC专业技术服务业,Wind商业和专业服务
300713.SZ,英可瑞,2017/11/1,CSRC电气机械及器材制造业,Wind资本货物
300715.SZ,凯伦股份,2017/10/26,CSRC非金属矿物制品业,Wind材料Ⅱ
300716.SZ,国立科技,2017/11/9,CSRC橡胶和塑料制品业,Wind材料Ⅱ
300717.SZ,华信新材,2017/11/6,CSRC橡胶和塑料制品业,Wind材料Ⅱ
300718.SZ,长盛轴承,2017/11/6,CSRC通用设备制造业,Wind资本货物
300719.SZ,安达维尔,2017/11/9,CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind资本货物
300720.SZ,海川智能,2017/11/6,CSRC仪器仪表制造业,Wind资本货物
300721.SZ,怡达股份,2017/11/15,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
300722.SZ,新余国科,2017/11/10,CSRC其他制造业,Wind资本货物
300723.SZ,一品红,2017/11/16,CSRC医药制造业,Wind制药、生物科技与生命科学
300724.SZ,捷佳伟创,2018/8/10,CSRC电气机械及器材制造业,Wind半导体与半导体生产设备
300725.SZ,药石科技,2017/11/10,CSRC化学原料及化学制品制造业,Wind制药、生物科技与生命科学
300726.SZ,宏达电子,2017/11/21,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300727.SZ,润禾材料,2017/11/27,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
300729.SZ,乐歌股份,2017/12/1,CSRC家具制造业,Wind耐用消费品与服装
300730.SZ,科创信息,2017/12/5,CSRC软件和信息技术服务业,Wind软件与服务
300731.SZ,科创新源,2017/12/8,CSRC橡胶和塑料制品业,Wind材料Ⅱ
300732.SZ,设研院,2017/12/12,CSRC专业技术服务业,Wind商业和专业服务
300733.SZ,西菱动力,2018/1/16,CSRC汽车制造业,Wind汽车与汽车零部件
300735.SZ,光弘科技,2017/12/29,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300736.SZ,百邦科技,2018/1/9,CSRC机动车、电子产品和日用产品修理业,Wind消费者服务Ⅱ
300737.SZ,科顺股份,2018/1/25,CSRC非金属矿物制品业,Wind材料Ⅱ
300738.SZ,奥飞数据,2018/1/19,CSRC软件和信息技术服务业,Wind软件与服务
300739.SZ,明阳电路,2018/2/1,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300740.SZ,御家汇,2018/2/8,CSRC化学原料及化学制品制造业,Wind家庭与个人用品
300741.SZ,华宝股份,2018/3/1,CSRC化学原料及化学制品制造业,Wind食品、饮料与烟草
300742.SZ,越博动力,2018/5/8,CSRC汽车制造业,Wind汽车与汽车零部件
300743.SZ,天地数码,2018/4/27,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300745.SZ,欣锐科技,2018/5/23,CSRC汽车制造业,Wind汽车与汽车零部件
300746.SZ,汉嘉设计,2018/5/25,CSRC专业技术服务业,Wind商业和专业服务
300747.SZ,锐科激光,2018/6/25,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300748.SZ,金力永磁,2018/9/21,CSRC计算机、通信和其他电子设备制造业,Wind材料Ⅱ
300749.SZ,顶固集创,2018/9/25,CSRC家具制造业,Wind耐用消费品与服装
300750.SZ,宁德时代,2018/6/11,CSRC电气机械及器材制造业,Wind资本货物
300751.SZ,迈为股份,2018/11/9,CSRC专用设备制造业,Wind资本货物
300752.SZ,隆利科技,2018/11/30,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300753.SZ,爱朋医疗,2018/12/13,CSRC专用设备制造业,Wind医疗保健设备与服务
300755.SZ,华致酒行,2019/1/29,CSRC批发业,Wind食品与主要用品零售Ⅱ
300756.SZ,中山金马,2018/12/28,CSRC文教、工美、体育和娱乐用品制造业,Wind消费者服务Ⅱ
300757.SZ,罗博特科,2019/1/8,CSRC专用设备制造业,Wind资本货物
300758.SZ,七彩化学,2019/2/22,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
300759.SZ,康龙化成,2019/1/28,CSRC研究和试验发展,Wind制药、生物科技与生命科学
300760.SZ,迈瑞医疗,2018/10/16,CSRC专用设备制造业,Wind医疗保健设备与服务
300761.SZ,立华股份,2019/2/18,CSRC畜牧业,Wind食品、饮料与烟草
300762.SZ,上海瀚讯,2019/3/14,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300763.SZ,锦浪科技,2019/3/19,CSRC电气机械及器材制造业,Wind资本货物
300765.SZ,新诺威,2019/3/22,CSRC食品制造业,Wind制药、生物科技与生命科学
300766.SZ,每日互动,2019/3/25,CSRC互联网和相关服务,Wind软件与服务
300767.SZ,震安科技,2019/3/29,CSRC橡胶和塑料制品业,Wind资本货物
300768.SZ,迪普科技,2019/4/12,CSRC软件和信息技术服务业,Wind技术硬件与设备
300769.SZ,德方纳米,2019/4/15,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
300770.SZ,新媒股份,2019/4/19,CSRC电信、广播电视和卫星传输服务,Wind媒体Ⅱ
300771.SZ,智莱科技,2019/4/22,CSRC专用设备制造业,Wind技术硬件与设备
300772.SZ,运达股份,2019/4/26,CSRC通用设备制造业,Wind资本货物
300773.SZ,拉卡拉,2019/4/25,CSRC互联网和相关服务,Wind软件与服务
300775.SZ,三角防务,2019/5/21,CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind资本货物
300776.SZ,帝尔激光,2019/5/17,CSRC专用设备制造业,Wind技术硬件与设备
300777.SZ,中简科技,2019/5/16,CSRC化学纤维制造业,Wind材料Ⅱ
300778.SZ,新城市,2019/5/10,CSRC专业技术服务业,Wind商业和专业服务
300779.SZ,惠城环保,2019/5/22,CSRC废弃资源综合利用业,Wind材料Ⅱ
300780.SZ,德恩精工,2019/5/31,CSRC通用设备制造业,Wind资本货物
300781.SZ,因赛集团,2019/6/6,CSRC商务服务业,Wind媒体Ⅱ
300782.SZ,卓胜微,2019/6/18,CSRC计算机、通信和其他电子设备制造业,Wind半导体与半导体生产设备
300783.SZ,三只松鼠,2019/7/12,CSRC零售业,Wind食品与主要用品零售Ⅱ
300785.SZ,值得买,2019/7/15,CSRC互联网和相关服务,Wind软件与服务
300786.SZ,国林环保,2019/7/23,CSRC专用设备制造业,Wind资本货物
300787.SZ,海能实业,2019/8/15,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
300788.SZ,中信出版,2019/7/5,CSRC新闻和出版业,Wind媒体Ⅱ
300789.SZ,唐源电气,2019/8/28,CSRC软件和信息技术服务业,Wind技术硬件与设备
600000.SH,浦发银行,1999/11/10,CSRC货币金融服务,Wind银行
600004.SH,白云机场,2003/4/28,CSRC航空运输业,Wind运输
600006.SH,东风汽车,1999/7/27,CSRC汽车制造业,Wind汽车与汽车零部件
600007.SH,中国国贸,1999/3/12,CSRC房地产业,Wind房地产Ⅱ
600008.SH,首创股份,2000/4/27,CSRC水的生产和供应业,Wind公用事业Ⅱ
600009.SH,上海机场,1998/2/18,CSRC航空运输业,Wind运输
600010.SH,包钢股份,2001/3/9,CSRC黑色金属冶炼及压延加工,Wind材料Ⅱ
600011.SH,华能国际,2001/12/6,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600012.SH,皖通高速,2003/1/7,CSRC道路运输业,Wind运输
600015.SH,华夏银行,2003/9/12,CSRC货币金融服务,Wind银行
600016.SH,民生银行,2000/12/19,CSRC货币金融服务,Wind银行
600017.SH,日照港,2006/10/17,CSRC水上运输业,Wind运输
600018.SH,上港集团,2006/10/26,CSRC水上运输业,Wind运输
600019.SH,宝钢股份,2000/12/12,CSRC黑色金属冶炼及压延加工,Wind材料Ⅱ
600020.SH,中原高速,2003/8/8,CSRC道路运输业,Wind运输
600021.SH,上海电力,2003/10/29,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600022.SH,山东钢铁,2004/6/29,CSRC黑色金属冶炼及压延加工,Wind材料Ⅱ
600023.SH,浙能电力,2013/12/19,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600025.SH,华能水电,2017/12/15,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600026.SH,中远海能,2002/5/23,CSRC水上运输业,Wind运输
600027.SH,华电国际,2005/2/3,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600028.SH,中国石化,2001/8/8,CSRC石油和天然气开采业,Wind能源Ⅱ
600029.SH,南方航空,2003/7/25,CSRC航空运输业,Wind运输
600030.SH,中信证券,2003/1/6,CSRC资本市场服务,Wind多元金融
600031.SH,三一重工,2003/7/3,CSRC专用设备制造业,Wind资本货物
600033.SH,福建高速,2001/2/9,CSRC道路运输业,Wind运输
600035.SH,楚天高速,2004/3/10,CSRC道路运输业,Wind运输
600036.SH,招商银行,2002/4/9,CSRC货币金融服务,Wind银行
600037.SH,歌华有线,2001/2/8,CSRC电信、广播电视和卫星传输服务,Wind媒体Ⅱ
600038.SH,中直股份,2000/12/18,CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind资本货物
600039.SH,四川路桥,2003/3/25,CSRC土木工程建筑业,Wind资本货物
600048.SH,保利地产,2006/7/31,CSRC房地产业,Wind房地产Ⅱ
600050.SH,中国联通,2002/10/9,CSRC电信、广播电视和卫星传输服务,Wind电信服务Ⅱ
600051.SH,宁波联合,1997/4/10,CSRC批发业,Wind资本货物
600052.SH,浙江广厦,1997/4/15,CSRC房地产业,Wind房地产Ⅱ
600053.SH,九鼎投资,1997/4/18,CSRC其他金融业,Wind多元金融
600054.SH,黄山旅游,1997/5/6,CSRC公共设施管理业,Wind消费者服务Ⅱ
600055.SH,万东医疗,1997/5/19,CSRC专用设备制造业,Wind医疗保健设备与服务
600056.SH,中国医药,1997/5/15,CSRC医药制造业,Wind医疗保健设备与服务
600057.SH,厦门象屿,1997/6/4,CSRC商务服务业,Wind运输
600058.SH,五矿发展,1997/5/28,CSRC批发业,Wind资本货物
600059.SH,古越龙山,1997/5/16,CSRC酒、饮料和精制茶制造业,Wind食品、饮料与烟草
600060.SH,海信电器,1997/4/22,CSRC计算机、通信和其他电子设备制造业,Wind耐用消费品与服装
600061.SH,国投资本,1997/5/19,CSRC资本市场服务,Wind多元金融
600062.SH,华润双鹤,1997/5/22,CSRC医药制造业,Wind制药、生物科技与生命科学
600063.SH,皖维高新,1997/5/28,CSRC化学纤维制造业,Wind材料Ⅱ
600064.SH,南京高科,1997/5/6,CSRC房地产业,Wind房地产Ⅱ
600066.SH,宇通客车,1997/5/8,CSRC汽车制造业,Wind汽车与汽车零部件
600067.SH,冠城大通,1997/5/8,CSRC房地产业,Wind房地产Ⅱ
600068.SH,葛洲坝,1997/5/26,CSRC土木工程建筑业,Wind资本货物
600069.SH,银鸽投资,1997/4/30,CSRC造纸及纸制品业,Wind材料Ⅱ
600070.SH,浙江富润,1997/6/4,CSRC纺织业,Wind耐用消费品与服装
600071.SH,凤凰光学,1997/5/28,CSRC仪器仪表制造业,Wind技术硬件与设备
600072.SH,中船科技,1997/6/3,CSRC土木工程建筑业,Wind资本货物
600073.SH,上海梅林,1997/7/4,CSRC食品制造业,Wind食品、饮料与烟草
600074.SH,*ST保千,1997/6/23,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
600075.SH,新疆天业,1997/6/17,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
600076.SH,康欣新材,1997/5/26,CSRC木材加工及木、竹、藤、棕、草制品业,Wind材料Ⅱ
600077.SH,宋都股份,1997/5/20,CSRC房地产业,Wind房地产Ⅱ
600078.SH,澄星股份,1997/6/27,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
600079.SH,人福医药,1997/6/6,CSRC医药制造业,Wind制药、生物科技与生命科学
600080.SH,金花股份,1997/6/12,CSRC医药制造业,Wind制药、生物科技与生命科学
600081.SH,东风科技,1997/7/3,CSRC汽车制造业,Wind汽车与汽车零部件
600082.SH,海泰发展,1997/6/20,CSRC房地产业,Wind房地产Ⅱ
600083.SH,博信股份,1997/6/6,CSRC批发业,Wind耐用消费品与服装
600084.SH,*ST中葡,1997/7/11,CSRC酒、饮料和精制茶制造业,Wind食品、饮料与烟草
600085.SH,同仁堂,1997/6/25,CSRC医药制造业,Wind制药、生物科技与生命科学
600086.SH,东方金钰,1997/6/6,CSRC其他制造业,Wind耐用消费品与服装
600088.SH,中视传媒,1997/6/16,CSRC广播、电视、电影和影视录音制作业,Wind媒体Ⅱ
600089.SH,特变电工,1997/6/18,CSRC电气机械及器材制造业,Wind资本货物
600090.SH,同济堂,1997/6/16,CSRC批发业,Wind医疗保健设备与服务
600091.SH,ST明科,1997/7/4,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
600093.SH,易见股份,1997/6/26,CSRC商务服务业,Wind运输
600094.SH,大名城,1997/7/3,CSRC房地产业,Wind房地产Ⅱ
600095.SH,哈高科,1997/7/8,CSRC农副食品加工业,Wind房地产Ⅱ
600096.SH,云天化,1997/7/9,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
600097.SH,开创国际,1997/6/19,CSRC渔业,Wind食品、饮料与烟草
600098.SH,广州发展,1997/7/18,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600099.SH,林海股份,1997/7/4,CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind汽车与汽车零部件
600100.SH,同方股份,1997/6/27,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
600101.SH,明星电力,1997/6/27,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600103.SH,青山纸业,1997/7/3,CSRC造纸及纸制品业,Wind材料Ⅱ
600104.SH,上汽集团,1997/11/25,CSRC汽车制造业,Wind汽车与汽车零部件
600105.SH,永鼎股份,1997/9/29,CSRC电气机械及器材制造业,Wind技术硬件与设备
600106.SH,重庆路桥,1997/6/18,CSRC道路运输业,Wind运输
600107.SH,美尔雅,1997/11/6,CSRC纺织服装、服饰业,Wind耐用消费品与服装
600108.SH,亚盛集团,1997/8/18,CSRC农业,Wind食品、饮料与烟草
600109.SH,国金证券,1997/8/7,CSRC资本市场服务,Wind多元金融
600110.SH,诺德股份,1997/10/7,CSRC有色金属冶炼及压延加工,Wind材料Ⅱ
600111.SH,北方稀土,1997/9/24,CSRC有色金属冶炼及压延加工,Wind材料Ⅱ
600112.SH,ST天成,1997/11/27,CSRC电气机械及器材制造业,Wind资本货物
600113.SH,浙江东日,1997/10/21,CSRC商务服务业,Wind资本货物
600114.SH,东睦股份,2004/5/11,CSRC金属制品业,Wind资本货物
600115.SH,东方航空,1997/11/5,CSRC航空运输业,Wind运输
600116.SH,三峡水利,1997/8/4,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600117.SH,西宁特钢,1997/10/15,CSRC黑色金属冶炼及压延加工,Wind材料Ⅱ
600118.SH,中国卫星,1997/9/8,CSRC计算机、通信和其他电子设备制造业,Wind资本货物
600119.SH,*ST长投,1998/1/15,CSRC道路运输业,Wind运输
600120.SH,浙江东方,1997/12/1,CSRC其他金融业,Wind多元金融
600121.SH,郑州煤电,1998/1/7,CSRC煤炭开采和洗选业,Wind能源Ⅱ
600122.SH,宏图高科,1998/4/20,CSRC零售业,Wind零售业
600123.SH,兰花科创,1998/12/17,CSRC煤炭开采和洗选业,Wind能源Ⅱ
600125.SH,铁龙物流,1998/5/11,CSRC铁路运输业,Wind运输
600126.SH,杭钢股份,1998/3/11,CSRC黑色金属冶炼及压延加工,Wind材料Ⅱ
600127.SH,金健米业,1998/5/6,CSRC农副食品加工业,Wind食品、饮料与烟草
600128.SH,弘业股份,1997/9/1,CSRC批发业,Wind零售业
600129.SH,太极集团,1997/11/18,CSRC医药制造业,Wind制药、生物科技与生命科学
600130.SH,波导股份,2000/7/6,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
600131.SH,岷江水电,1998/4/2,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600132.SH,重庆啤酒,1997/10/30,CSRC酒、饮料和精制茶制造业,Wind食品、饮料与烟草
600133.SH,东湖高新,1998/2/12,CSRC土木工程建筑业,Wind资本货物
600135.SH,乐凯胶片,1998/1/22,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
600136.SH,当代明诚,1998/3/3,CSRC广播、电视、电影和影视录音制作业,Wind媒体Ⅱ
600137.SH,浪莎股份,1998/4/16,CSRC纺织服装、服饰业,Wind耐用消费品与服装
600138.SH,中青旅,1997/12/3,CSRC商务服务业,Wind消费者服务Ⅱ
600139.SH,西部资源,1998/2/25,CSRC汽车制造业,Wind汽车与汽车零部件
600141.SH,兴发集团,1999/6/16,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
600143.SH,金发科技,2004/6/23,CSRC橡胶和塑料制品业,Wind材料Ⅱ
600145.SH,*ST新亿,1999/9/23,CSRC非金属矿物制品业,Wind资本货物
600146.SH,商赢环球,1999/7/7,CSRC纺织服装、服饰业,Wind耐用消费品与服装
600148.SH,长春一东,1998/5/20,CSRC汽车制造业,Wind汽车与汽车零部件
600149.SH,ST坊展,1999/10/14,CSRC综合,Wind资本货物
600150.SH,中国船舶,1998/5/20,CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind资本货物
600151.SH,航天机电,1998/6/5,CSRC计算机、通信和其他电子设备制造业,Wind半导体与半导体生产设备
600152.SH,维科技术,1998/6/9,CSRC电气机械及器材制造业,Wind资本货物
600153.SH,建发股份,1998/6/16,CSRC批发业,Wind资本货物
600155.SH,华创阳安,1998/9/18,CSRC资本市场服务,Wind多元金融
600156.SH,华升股份,1998/5/27,CSRC纺织业,Wind耐用消费品与服装
600157.SH,永泰能源,1998/5/13,CSRC煤炭开采和洗选业,Wind能源Ⅱ
600158.SH,中体产业,1998/3/27,CSRC房地产业,Wind房地产Ⅱ
600159.SH,大龙地产,1998/5/26,CSRC房地产业,Wind房地产Ⅱ
600160.SH,巨化股份,1998/6/26,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
600161.SH,天坛生物,1998/6/16,CSRC医药制造业,Wind制药、生物科技与生命科学
600162.SH,香江控股,1998/6/9,CSRC房地产业,Wind房地产Ⅱ
600163.SH,中闽能源,1998/6/2,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600165.SH,新日恒力,1998/5/29,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
600166.SH,福田汽车,1998/6/2,CSRC汽车制造业,Wind汽车与汽车零部件
600167.SH,联美控股,1999/1/28,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600168.SH,武汉控股,1998/4/27,CSRC水的生产和供应业,Wind公用事业Ⅱ
600169.SH,太原重工,1998/9/4,CSRC专用设备制造业,Wind资本货物
600170.SH,上海建工,1998/6/23,CSRC土木工程建筑业,Wind资本货物
600171.SH,上海贝岭,1998/9/24,CSRC计算机、通信和其他电子设备制造业,Wind半导体与半导体生产设备
600172.SH,黄河旋风,1998/11/26,CSRC非金属矿物制品业,Wind材料Ⅱ
600173.SH,卧龙地产,1999/4/15,CSRC房地产业,Wind房地产Ⅱ
600175.SH,美都能源,1999/4/8,CSRC综合,Wind资本货物
600176.SH,中国巨石,1999/4/22,CSRC非金属矿物制品业,Wind材料Ⅱ
600177.SH,雅戈尔,1998/11/19,CSRC纺织服装、服饰业,Wind房地产Ⅱ
600178.SH,东安动力,1998/10/14,CSRC汽车制造业,Wind汽车与汽车零部件
600179.SH,ST安通,1998/11/4,CSRC装卸搬运及其他运输代理,Wind运输
600180.SH,瑞茂通,1998/7/3,CSRC批发业,Wind运输
600182.SH,S佳通,1999/5/7,CSRC橡胶和塑料制品业,Wind汽车与汽车零部件
600183.SH,生益科技,1998/10/28,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
600184.SH,光电股份,2003/11/6,CSRC专用设备制造业,Wind资本货物
600185.SH,格力地产,1999/6/11,CSRC房地产业,Wind房地产Ⅱ
600186.SH,*ST莲花,1998/8/25,CSRC食品制造业,Wind食品、饮料与烟草
600187.SH,国中水务,1998/11/11,CSRC水的生产和供应业,Wind公用事业Ⅱ
600188.SH,兖州煤业,1998/7/1,CSRC煤炭开采和洗选业,Wind能源Ⅱ
600189.SH,吉林森工,1998/10/7,CSRC酒、饮料和精制茶制造业,Wind食品、饮料与烟草
600190.SH,锦州港,1999/6/9,CSRC水上运输业,Wind运输
600191.SH,华资实业,1998/12/10,CSRC农副食品加工业,Wind食品、饮料与烟草
600192.SH,长城电工,1998/12/24,CSRC电气机械及器材制造业,Wind资本货物
600193.SH,ST创兴,1999/5/27,CSRC建筑装饰和其他建筑业,Wind资本货物
600195.SH,中牧股份,1999/1/7,CSRC医药制造业,Wind制药、生物科技与生命科学
600196.SH,复星医药,1998/8/7,CSRC医药制造业,Wind制药、生物科技与生命科学
600197.SH,伊力特,1999/9/16,CSRC酒、饮料和精制茶制造业,Wind食品、饮料与烟草
600198.SH,大唐电信,1998/10/21,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
600199.SH,金种子酒,1998/8/12,CSRC酒、饮料和精制茶制造业,Wind食品、饮料与烟草
600200.SH,江苏吴中,1999/4/1,CSRC综合,Wind资本货物
600201.SH,生物股份,1999/1/15,CSRC医药制造业,Wind制药、生物科技与生命科学
600202.SH,哈空调,1999/6/3,CSRC电气机械及器材制造业,Wind资本货物
600203.SH,福日电子,1999/5/14,CSRC批发业,Wind技术硬件与设备
600206.SH,有研新材,1999/3/19,CSRC有色金属冶炼及压延加工,Wind材料Ⅱ
600207.SH,安彩高科,1999/7/14,CSRC燃气生产和供应业,Wind资本货物
600208.SH,新湖中宝,1999/6/23,CSRC房地产业,Wind房地产Ⅱ
600209.SH,ST罗顿,1999/3/25,CSRC建筑装饰和其他建筑业,Wind资本货物
600210.SH,紫江企业,1999/8/24,CSRC橡胶和塑料制品业,Wind材料Ⅱ
600211.SH,西藏药业,1999/7/21,CSRC医药制造业,Wind制药、生物科技与生命科学
