Code,Name,ipo_date,,
000429.SZ,粤高速A,1998/2/20,CSRC道路运输业,Wind运输
000430.SZ,张家界,1996/8/29,CSRC公共设施管理业,Wind消费者服务Ⅱ
000488.SZ,晨鸣纸业,2000/11/20,CSRC造纸及纸制品业,Wind材料Ⅱ
000498.SZ,山东路桥,1997/6/9,CSRC土木工程建筑业,Wind资本货物
000501.SZ,鄂武商A,1992/11/20,CSRC零售业,Wind零售业
000502.SZ,绿景控股,1992/11/23,CSRC房地产业,Wind房地产Ⅱ
000503.SZ,国新健康,1992/11/30,CSRC互联网和相关服务,Wind软件与服务
000504.SZ,*ST生物,1992/12/8,CSRC科技推广和应用服务业,Wind制药、生物科技与生命科学
000505.SZ,京粮控股,1992/12/21,CSRC农副食品加工业,Wind食品、饮料与烟草
000506.SZ,中润资源,1993/3/12,CSRC有色金属矿采选业,Wind房地产Ⅱ
000507.SZ,珠海港,1993/3/26,CSRC水上运输业,Wind运输
000509.SZ,华塑控股,1993/5/7,CSRC橡胶和塑料制品业,Wind资本货物
000510.SZ,新金路,1993/5/7,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
000513.SZ,丽珠集团,1993/10/28,CSRC医药制造业,Wind制药、生物科技与生命科学
000514.SZ,渝开发,1993/7/12,CSRC房地产业,Wind房地产Ⅱ
000516.SZ,国际医学,1993/8/9,CSRC卫生,Wind医疗保健设备与服务
000517.SZ,荣安地产,1993/8/6,CSRC房地产业,Wind房地产Ⅱ
000518.SZ,四环生物,1993/9/8,CSRC医药制造业,Wind制药、生物科技与生命科学
000519.SZ,中兵红箭,1993/10/8,CSRC专用设备制造业,Wind资本货物
000520.SZ,长航凤凰,1993/10/25,CSRC水上运输业,Wind运输
000521.SZ,长虹美菱,1993/10/18,CSRC电气机械及器材制造业,Wind耐用消费品与服装
000523.SZ,广州浪奇,1993/11/8,CSRC化学原料及化学制品制造业,Wind家庭与个人用品
000524.SZ,岭南控股,1993/11/18,CSRC住宿业,Wind消费者服务Ⅱ
000525.SZ,红太阳,1993/10/28,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
000526.SZ,紫光学大,1993/11/1,CSRC教育,Wind消费者服务Ⅱ
000528.SZ,柳工,1993/11/18,CSRC专用设备制造业,Wind资本货物
000529.SZ,广弘控股,1993/11/18,CSRC农副食品加工业,Wind资本货物
000530.SZ,大冷股份,1993/12/8,CSRC通用设备制造业,Wind资本货物
000531.SZ,穗恒运A,1994/1/6,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
000532.SZ,华金资本,1994/1/3,CSRC综合,Wind技术硬件与设备
000533.SZ,顺钠股份,1994/1/3,CSRC电气机械及器材制造业,Wind耐用消费品与服装
000534.SZ,万泽股份,1994/1/10,CSRC医药制造业,Wind制药、生物科技与生命科学
000536.SZ,华映科技,1993/11/26,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
000537.SZ,广宇发展,1993/12/10,CSRC房地产业,Wind房地产Ⅱ
000538.SZ,云南白药,1993/12/15,CSRC医药制造业,Wind制药、生物科技与生命科学
000539.SZ,粤电力A,1993/11/26,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
000540.SZ,中天金融,1994/2/2,CSRC房地产业,Wind房地产Ⅱ
000541.SZ,佛山照明,1993/11/23,CSRC电气机械及器材制造业,Wind耐用消费品与服装
000543.SZ,皖能电力,1993/12/20,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
000544.SZ,中原环保,1993/12/8,CSRC水的生产和供应业,Wind公用事业Ⅱ
000545.SZ,金浦钛业,1993/12/15,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
000546.SZ,金圆股份,1993/12/15,CSRC生态保护和环境治理业,Wind材料Ⅱ
000547.SZ,航天发展,1993/11/30,CSRC计算机、通信和其他电子设备制造业,Wind资本货物
000548.SZ,湖南投资,1993/12/20,CSRC道路运输业,Wind运输
000550.SZ,江铃汽车,1993/12/1,CSRC汽车制造业,Wind汽车与汽车零部件
000551.SZ,创元科技,1994/1/6,CSRC综合,Wind资本货物
000552.SZ,靖远煤电,1994/1/6,CSRC煤炭开采和洗选业,Wind能源Ⅱ
000553.SZ,安道麦A,1993/12/3,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
000554.SZ,泰山石油,1993/12/15,CSRC批发业,Wind能源Ⅱ
000555.SZ,神州信息,1994/4/8,CSRC软件和信息技术服务业,Wind软件与服务
000557.SZ,西部创业,1994/6/17,CSRC铁路运输业,Wind运输
000558.SZ,莱茵体育,1994/5/9,CSRC房地产业,Wind消费者服务Ⅱ
000559.SZ,万向钱潮,1994/1/10,CSRC汽车制造业,Wind汽车与汽车零部件
000560.SZ,我爱我家,1994/2/2,CSRC房地产业,Wind房地产Ⅱ
000561.SZ,烽火电子,1994/5/9,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
000563.SZ,陕国投A,1994/1/10,CSRC其他金融业,Wind多元金融
000564.SZ,供销大集,1994/1/10,CSRC零售业,Wind零售业
000565.SZ,渝三峡A,1994/4/8,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
000566.SZ,海南海药,1994/5/25,CSRC医药制造业,Wind制药、生物科技与生命科学
000567.SZ,海德股份,1994/5/25,CSRC其他金融业,Wind多元金融
000568.SZ,泸州老窖,1994/5/9,CSRC酒、饮料和精制茶制造业,Wind食品、饮料与烟草
000570.SZ,苏常柴A,1994/7/1,CSRC通用设备制造业,Wind资本货物
000571.SZ,*ST大洲,1994/5/25,CSRC综合,Wind资本货物
000572.SZ,*ST海马,1994/8/8,CSRC汽车制造业,Wind汽车与汽车零部件
000573.SZ,粤宏远A,1994/8/15,CSRC房地产业,Wind房地产Ⅱ
000576.SZ,广东甘化,1994/9/7,CSRC造纸及纸制品业,Wind材料Ⅱ
000581.SZ,威孚高科,1998/9/24,CSRC汽车制造业,Wind汽车与汽车零部件
000582.SZ,北部湾港,1995/11/2,CSRC水上运输业,Wind运输
000584.SZ,哈工智能,1995/11/28,CSRC专用设备制造业,Wind资本货物
000585.SZ,ST东电,1995/12/13,CSRC电气机械及器材制造业,Wind资本货物
000586.SZ,汇源通信,1995/12/20,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
000587.SZ,金洲慈航,1996/4/25,CSRC其他制造业,Wind耐用消费品与服装
000589.SZ,贵州轮胎,1996/3/8,CSRC橡胶和塑料制品业,Wind汽车与汽车零部件
000590.SZ,启迪古汉,1996/1/19,CSRC医药制造业,Wind制药、生物科技与生命科学
000591.SZ,太阳能,1996/2/8,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
000592.SZ,平潭发展,1996/3/27,CSRC林业,Wind材料Ⅱ
000593.SZ,大通燃气,1996/3/12,CSRC燃气生产和供应业,Wind公用事业Ⅱ
000595.SZ,宝塔实业,1996/4/19,CSRC通用设备制造业,Wind资本货物
